,abbr,date,daily_records,tested,positive,deaths,population,multipliler,tested_pm,positive_pm,deaths_pm,daily_tests,daily_positive,daily_deaths,daily_tests_pm,daily_positive_pm,daily_deaths_pm,daily_tests_7day_mean,daily_positive_7day_mean,daily_deaths_7day_mean,daily_tests_pm_7day_mean,daily_positive_pm_7day_mean,daily_deaths_pm_7day_mean,daily_test_rk,daily_positive_rk,daily_deaths_rk,daily_test_pm_rk,daily_positive_pm_rk,daily_deaths_pm_rk
25,MS,2020-03-08,1,0.0,0.0,0.0,2976149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
26,MT,2020-03-08,1,11.0,0.0,0.0,1068778,0,10.29212801910219,0.0,0.0,11.0,0.0,0.0,10.29212801910219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
27,NC,2020-03-08,1,0.0,0.0,0.0,10488084,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
28,ND,2020-03-08,1,0.0,0.0,0.0,762062,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
29,NE,2020-03-08,1,23.0,1.0,0.0,1934408,0,11.889942556068833,0.5169540241769058,0.0,23.0,1.0,0.0,11.889942556068833,0.5169540241769058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
30,NH,2020-03-08,2,47.0,4.0,0.0,1359711,0,34.566168840290324,2.941801603428964,0.0,47.0,4.0,0.0,34.566168840290324,2.941801603428964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
31,NJ,2020-03-08,2,37.0,6.0,0.0,8882190,0,4.165639329940026,0.675509080530815,0.0,37.0,6.0,0.0,4.165639329940026,0.675509080530815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
32,NM,2020-03-08,1,46.0,0.0,0.0,2096829,0,21.937888115816786,0.0,0.0,46.0,0.0,0.0,21.937888115816786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
33,NV,2020-03-08,1,14.0,0.0,0.0,3080156,0,4.545224332793534,0.0,0.0,14.0,0.0,0.0,4.545224332793534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
34,NY,2020-03-08,2,361.0,105.0,0.0,19453561,0,18.557013803282597,5.397469388766407,0.0,361.0,105.0,0.0,18.557013803282597,5.397469388766407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
35,OH,2020-03-08,1,14.0,0.0,0.0,3193694,0,4.383638507634107,0.0,0.0,14.0,0.0,0.0,4.383638507634107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
36,OK,2020-03-08,1,9.0,1.0,0.0,11689100,0,0.7699480712800815,0.08554978569778683,0.0,9.0,1.0,0.0,0.7699480712800815,0.08554978569778683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
37,OR,2020-03-08,2,167.0,14.0,0.0,3956971,0,42.20399896789741,3.538059793715951,0.0,167.0,14.0,0.0,42.20399896789741,3.538059793715951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
38,PA,2020-03-08,1,0.0,4.0,0.0,4217737,0,0.0,0.9483758707572331,0.0,0.0,4.0,0.0,0.0,0.9483758707572331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
39,PR,2020-03-08,0,0.0,0.0,0.0,12801989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
40,RI,2020-03-08,1,0.0,2.0,0.0,1059361,0,0.0,1.8879305543624882,0.0,0.0,2.0,0.0,0.0,1.8879305543624882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
41,SC,2020-03-08,1,0.0,0.0,0.0,5148714,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
42,SD,2020-03-08,1,5.0,0.0,0.0,884659,1,5.651895250034194,0.0,0.0,5.0,0.0,0.0,5.651895250034194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
43,TN,2020-03-08,1,0.0,0.0,0.0,6829174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
44,TX,2020-03-08,1,0.0,8.0,0.0,28995881,0,0.0,0.2759012564577707,0.0,0.0,8.0,0.0,0.0,0.2759012564577707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
45,UT,2020-03-08,1,0.0,1.0,0.0,3205958,0,0.0,0.31191924535505455,0.0,0.0,1.0,0.0,0.0,0.31191924535505455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
46,VA,2020-03-08,2,44.0,2.0,0.0,8535519,0,5.154929653369643,0.23431498424407468,0.0,44.0,2.0,0.0,5.154929653369643,0.23431498424407468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
47,VT,2020-03-08,1,29.0,1.0,0.0,623989,1,46.47517824833451,1.602592353390845,0.0,29.0,1.0,0.0,46.47517824833451,1.602592353390845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
48,WA,2020-03-08,1,0.0,102.0,16.0,7614893,0,0.0,13.394804102959819,2.1011457416407557,0.0,102.0,16.0,0.0,13.394804102959819,2.1011457416407557,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
49,WI,2020-03-08,1,44.0,1.0,0.0,5822434,0,7.556977030568316,0.1717494779674617,0.0,44.0,1.0,0.0,7.556977030568316,0.1717494779674617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
50,WV,2020-03-08,1,5.0,0.0,0.0,1792147,0,2.789949708366557,0.0,0.0,5.0,0.0,0.0,2.789949708366557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
51,WY,2020-03-08,1,0.0,0.0,0.0,578759,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
52,AK,2020-03-09,1,32.0,0.0,0.0,731545,1,43.74303699704051,0.0,0.0,9.0,0.0,0.0,12.302729155417644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
53,AL,2020-03-09,0,0.0,0.0,0.0,4903185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
54,AR,2020-03-09,1,12.0,0.0,0.0,3017804,0,3.9764013832574947,0.0,0.0,6.0,0.0,0.0,1.9882006916287474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
55,AZ,2020-03-09,0,56.0,5.0,0.0,7278717,0,7.6936635948340895,0.686934249538758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
56,CA,2020-03-09,1,515.0,114.0,1.0,39512223,0,13.03394142111417,2.8851831495281854,0.025308624118668292,0.0,26.0,0.0,0.0,0.658024227085376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
